datetime,open,high,low,close,volume
2025-07-29,248.7,253.07001,246.59,249.98,8406400
2025-07-28,246.0,247.78,243.42,247.71001,6756800
2025-07-25,242.34,245.47,241.42999,245.12,7149600
2025-07-24,242.41,244.08,240.56,242.83,8237900
2025-07-23,239.95,243.42,238.66,241.89999,7255800
2025-07-22,241.98,242.28999,235.41,238.11,11380900
2025-07-21,245.31,246.8,243.24001,243.53999,7348400
2025-07-18,248.5,249.67999,245.0,245.45,9678100
2025-07-17,243.34,251.60001,242.00999,248.75,17631300
2025-07-16,235.5,241.33,233.19,241.3,12597500
2025-07-15,232.41,235.60001,229.2,234.96001,10728800
2025-07-14,229.45,230.64,225.12,229.28,11337000
2025-07-11,231.37,234.0,229.87,230.56,10208200
2025-07-10,239.94,240.06,233.5,235.0,11486300
2025-07-09,235.50999,236.50999,232.0,235.81,10871600
2025-07-08,237.13,241.44,233.19,234.5,20401800
2025-07-07,235.11,235.25,229.5,232.25999,16584300
2025-07-03,233.22,237.99001,231.2,237.32001,18441400
2025-07-02,217.67999,231.89999,216.72,229.98,22326900
2025-07-01,219.3,223.17,216.31,218.96001,16962200
2025-06-30,226.5,228.22,218.38,218.63,31844200
2025-06-27,213.69,214.64999,209.96001,210.24001,14127500
2025-06-26,212.0,214.42,210.36,212.82001,10531100
2025-06-25,214.94,216.92999,210.23,210.72,11804600
2025-06-24,209.99001,216.37,208.55,215.27,19030600
2025-06-23,205.50999,207.27,202.53999,207.03999,13418400
2025-06-20,213.35001,213.8,204.64,205.17,20879100
2025-06-18,211.09,214.72,209.57001,210.87,15055400
2025-06-17,210.66,215.88,207.48,208.17999,17819200
2025-06-16,213.2,215.17,209.98,211.10001,22665300
2025-06-13,201.58,216.60001,201.2,215.22,53707400
2025-06-12,189.96001,202.49001,188.88,199.86,54610000
2025-06-11,177.55,179.55,176.2,176.38,18002900
2025-06-10,177.71001,177.85001,174.28,177.48,11056700
2025-06-09,174.86,178.72,173.78999,177.14999,9668900
2025-06-06,174.0,174.78999,172.66,174.02,6833700
2025-06-05,169.0,172.25999,168.75999,171.14,7707800
2025-06-04,169.71001,170.48,167.57001,168.10001,6375800
2025-06-03,166.8,169.33,166.59,169.14,7155300
2025-06-02,164.17,167.0,162.60001,166.57001,7166000
2025-05-30,163.42999,165.75,161.55,165.53,17547900
2025-05-29,165.0,165.32001,161.49001,162.89999,6994700
2025-05-28,161.87,164.32001,161.28,163.85001,8090700
2025-05-27,159.32001,162.39999,158.92,161.91,6976800
2025-05-23,154.99001,157.38,154.25999,155.97,6527500
2025-05-22,156.98,159.19,156.82001,157.31,7603300
2025-05-21,158.35001,160.89999,156.46001,157.17999,6011000
2025-05-20,158.63,160.36,157.53,160.31,7576400
2025-05-19,158.3,161.97,157.83,159.64,10268900
2025-05-16,160.0,160.84,158.52,160.49001,8515500
2025-05-15,161.36,161.74001,158.91,159.39999,10169200
2025-05-14,162.36,163.41,161.06,162.95,7499400
2025-05-13,158.22,163.22,157.57001,162.27,11955200
2025-05-12,156.31,157.42999,154.42,157.22,7875500
2025-05-09,150.03999,151.8,149.78999,150.34,4707100
2025-05-08,149.05,151.81,148.61,150.3,6113600
2025-05-07,147.5,149.89999,147.24001,149.37,6049600
2025-05-06,146.98,148.94,145.72,147.7,5108600
2025-05-05,149.44,150.82001,148.52,149.28999,5187400
2025-05-02,148.33,153.06,148.33,150.73,11346000
2025-05-01,146.56,148.64,145.34,145.49001,11525800
2025-04-30,138.48,141.3,135.57001,140.72,9443500
2025-04-29,139.81,141.16,139.55,140.78999,4851500
2025-04-28,139.64999,140.67,138.08,140.14,6985100
2025-04-25,137.49001,139.0,136.75999,138.49001,5476400
2025-04-24,132.50999,137.86,132.0,137.50999,7305900
2025-04-23,134.91,135.87,130.99001,131.39999,9528900
2025-04-22,124.5,127.99,123.39,127.24,11233700
2025-04-21,126.89,127.2,121.24,122.82,12201200
2025-04-17,130.89999,131.3,128.44,128.62,8919500
2025-04-16,132.28,132.53999,127.85,129.75999,8295200
2025-04-15,134.75999,136.48,133.72,133.94,8630000
2025-04-14,136.8,136.8,132.87,134.64,8217700
2025-04-11,132.11,133.0,128.84,132.35001,10190200
2025-04-10,136.64999,136.64999,129.25999,133.35001,12401600
2025-04-09,123.4,140.59,123.4,139.69,17762000
2025-04-08,132.53999,132.99001,121.7,124.5,11950300
2025-04-07,118.86,134.11,118.86,127.16,19482700
2025-04-04,132.91,133.82001,126.95,128.27,14986900
2025-04-03,139.25,141.39999,136.64,137.23,14433800
2025-04-02,139.86,147.89,139.86,145.86,11594400
2025-04-01,139.75999,143.25,138.75999,141.94,9518500
2025-03-31,138.64,140.59,136.75999,139.81,15509900
2025-03-28,143.78,145.64999,139.11,140.87,13144500
2025-03-27,145.85001,147.03999,144.92,145.78,9148300
2025-03-26,152.89,153.03,146.56,147.8,13210000
2025-03-25,154.50999,155.60001,153.05,153.92999,8521200
2025-03-24,156.34,156.60001,154.03,154.87,7848300
2025-03-21,151.64999,153.84,150.11,152.23,17620200
2025-03-20,151.58,154.49001,150.82001,152.72,7051600
